"Category Name","SKU","Product Name","Total Quantity","Available Quantity","Blocked Quantity","type","Brand","Updated On"
"Default Category","ShipRocket-116","Terracotta Jug (Big)","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-115","Terracotta Jug (Small)","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-114","Artisan Temple Bell","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-113","Heritage Terracotta Surahi","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-112","Natural Cooling Terracotta Bottle","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-111","Modern Earthen Tea Cups (6 pcs)","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-110","Minimalist Terracotta Tea Set (6 pcs)","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-109","Textured Brick Tea Cup Set (6 pcs)","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-108","Premium Terracotta Chai Set (6 pcs)","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-107","Classic Earthen Tea Cup Set (6 pcs)","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-106","Rustic Tombol Coffee Mug","100","100","0","Single","","11 Jul 2026 12:00 PM"
"Default Category","ShipRocket-105","Artisan Brick Pattern Mug","100","100","0","Single","","11 Jul 2026 12:00 PM"
